AccessDate, AccessLocation, IN, OUT, id
28-04-17 18:49:15, Turnstile 2 IN,1 , ,M0003453438
28-04-17 18:49:56, Turnstile 2 IN, 1, , 0
28-04-17 18:49:58, Turnstile 2 IN, 1, , 0
28-04-17 18:50:14, Turnstile 2 IN, 1, , 0
28-04-17 18:51:14, Turnstile 2 IN,1 , ,M0003453438
28-04-17 18:51:29, Turnstile 4 OUT, , 1,M0003453438
28-04-17 18:51:49, Turnstile 4 OUT,, 1,0
28-04-17 18:52:07, Turnstile 4 OUT,, 1,0
28-04-17 18:52:10, Turnstile 4 OUT,, 1,0
28-04-17 18:52:21, Turnstile 2 IN,1 , ,M0003453438
28-04-17 18:52:23, Turnstile 2 IN, 1, , 0
28-04-17 18:52:26, Turnstile 2 IN, 1, , 0
28-04-17 18:52:30, Turnstile 2 IN,1 , ,M0003453438
